transaction_id,date_id,transaction_datetime,account_id,customer_id,branch_id,product_id,transaction_type,transaction_channel,transaction_amount,currency,running_balance,is_flagged_fraud
TXN00000025,20221004,2022-10-04 03:46:00,ACC000932,CUST00407,BR0015,PRD010,Interest Credit,POS,97040.03,INR,68645.65,False
TXN00000026,20250330,2025-03-30 12:01:00,ACC000025,CUST00759,BR0021,PRD009,Fee,Branch,-5031.51,INR,413281.12,False
TXN00000027,20230405,2023-04-05 02:17:00,ACC001320,CUST00703,BR0007,PRD005,Deposit,ATM,13261.3,INR,469299.2,False
TXN00000028,20250830,2025-08-30 23:52:00,ACC000020,CUST00037,BR0008,PRD005,Refund,Online,10678.58,INR,426360.11,False
TXN00000029,20220122,2022-01-22 14:52:00,ACC000286,CUST00405,BR0024,PRD001,Payment,ATM,-37995.6,INR,153692.5,False
TXN00000030,20220910,2022-09-10 08:40:00,ACC000500,CUST00131,BR0010,PRD005,Deposit,POS,54375.47,INR,61537.76,False
TXN00000031,20240118,2024-01-18 16:56:00,ACC000211,CUST00094,BR0023,PRD006,Fee,Mobile App,-14872.09,INR,70917.51,False
TXN00000032,20240506,2024-05-06 04:22:00,ACC000050,CUST00977,BR0013,PRD003,Withdrawal,Online,-21385.41,INR,112942.2,False
TXN00000033,20230420,2023-04-20 03:31:00,ACC000788,CUST00940,BR0015,PRD008,Interest Credit,ATM,88428.18,INR,495384.03,False
TXN00000034,20241218,2024-12-18 10:07:00,ACC000578,CUST00885,BR0005,PRD005,Transfer,Online,7675.18,INR,461659.8,False
TXN00000035,20230526,2023-05-26 13:33:00,ACC000089,CUST00007,BR0015,PRD006,Fee,Online,-7597.59,INR,299805.74,False
TXN00000036,20231201,2023-12-01 19:52:00,ACC000308,CUST00303,BR0015,PRD007,Interest Credit,Online,68731.71,INR,174192.84,False
TXN00000037,20240902,2024-09-02 08:51:00,ACC001023,CUST00524,BR0008,PRD007,Interest Credit,Branch,36942.79,INR,394428.06,False
TXN00000038,20220709,2022-07-09 10:09:00,ACC000305,CUST00632,BR0024,PRD004,Refund,Mobile App,65602.62,INR,223347.7,False
TXN00000039,20240815,2024-08-15 18:27:00,ACC000980,CUST00886,BR0022,PRD002,Refund,Online,6778.0,INR,72333.91,False
TXN00000040,20231118,2023-11-18 11:20:00,ACC000262,CUST00067,BR0020,PRD004,Withdrawal,Mobile App,-38388.39,INR,211916.03,False
TXN00000041,20240815,2024-08-15 10:08:00,ACC000848,CUST00487,BR0012,PRD009,Fee,ATM,-39685.4,INR,191592.61,False
TXN00000042,20230717,2023-07-17 17:52:00,ACC001104,CUST00674,BR0008,PRD003,Fee,ATM,-24655.44,INR,192313.63,False
TXN00000043,20250621,2025-06-21 22:51:00,ACC000864,CUST00702,BR0014,PRD009,Fee,ATM,-28914.93,INR,351546.66,False
TXN00000044,20240411,2024-04-11 00:23:00,ACC000006,CUST00880,BR0024,PRD001,Withdrawal,POS,-49695.57,INR,236963.18,False
TXN00000045,20250228,2025-02-28 11:54:00,ACC000226,CUST00415,BR0019,PRD005,Deposit,ATM,91140.62,INR,147348.64,False
TXN00000046,20231009,2023-10-09 07:03:00,ACC001130,CUST00893,BR0019,PRD006,Payment,ATM,-12162.75,INR,58617.9,False
TXN00000047,20220121,2022-01-21 22:27:00,ACC000294,CUST00220,BR0023,PRD006,Payment,Online,-36667.42,INR,27041.67,False
TXN00000048,20240420,2024-04-20 19:55:00,ACC001192,CUST00215,BR0015,PRD005,Deposit,ATM,47708.82,INR,15092.87,False
TXN00000049,20220616,2022-06-16 18:53:00,ACC000162,CUST00852,BR0006,PRD007,Withdrawal,Mobile App,-3899.41,INR,74858.61,False
TXN00000050,20250721,2025-07-21 09:30:00,ACC000287,CUST00509,BR0009,PRD005,Interest Credit,Mobile App,52768.63,INR,361278.71,False
TXN00000051,20230123,2023-01-23 03:09:00,ACC001321,CUST00646,BR0006,PRD003,Interest Credit,Branch,1370.28,INR,440578.57,False
TXN00000052,20230824,2023-08-24 12:53:00,ACC000356,CUST00060,BR0014,PRD010,Fee,Mobile App,-8059.42,INR,339951.77,False
TXN00000053,20221112,2022-11-12 18:32:00,ACC001135,CUST00340,BR0017,PRD003,Interest Credit,Online,82960.35,INR,354676.41,False
TXN00000054,20220114,2022-01-14 16:24:00,ACC000322,CUST00906,BR0009,PRD007,Transfer,ATM,97313.58,INR,371567.37,False
TXN00000055,20220830,2022-08-30 23:35:00,ACC000115,CUST00430,BR0004,PRD002,Withdrawal,POS,-19644.93,INR,420856.49,False
TXN00000056,20240216,2024-02-16 20:25:00,ACC000960,CUST00029,BR0003,PRD008,Payment,Mobile App,-15693.82,INR,82412.18,False
TXN00000057,20251001,2025-10-01 03:06:00,ACC001325,CUST00678,BR0003,PRD004,Payment,Branch,-9776.79,INR,181350.81,False
TXN00000058,20230719,2023-07-19 05:34:00,ACC000688,CUST00192,BR0017,PRD002,Deposit,Branch,23991.02,INR,32659.58,False
TXN00000059,20240616,2024-06-16 20:59:00,ACC000634,CUST00748,BR0009,PRD003,Withdrawal,Branch,-27606.98,INR,120167.58,False
TXN00000060,20250925,2025-09-25 15:02:00,ACC001168,CUST00206,BR0011,PRD005,Fee,Branch,-2291.48,INR,157290.15,False
TXN00000061,20220402,2022-04-02 12:32:00,ACC000018,CUST00984,BR0022,PRD008,Transfer,ATM,75180.36,INR,157236.22,False
TXN00000062,20251022,2025-10-22 03:21:00,ACC000729,CUST00903,BR0015,PRD010,Withdrawal,Mobile App,-35147.71,INR,448255.59,False
TXN00000063,20240813,2024-08-13 00:37:00,ACC001029,CUST00575,BR0001,PRD003,Refund,Mobile App,77517.27,INR,238476.52,False
TXN00000064,20251222,2025-12-22 21:29:00,ACC000077,CUST00996,BR0021,PRD005,Transfer,Branch,16164.24,INR,442601.94,False
TXN00000065,20230524,2023-05-24 21:41:00,ACC001472,CUST00186,BR0005,PRD003,Withdrawal,ATM,-44225.88,INR,384412.86,False
TXN00000066,20240215,2024-02-15 19:41:00,ACC001028,CUST00384,BR0019,PRD004,Fee,POS,-49614.33,INR,465113.6,False
TXN00000067,20220204,2022-02-04 19:54:00,ACC000269,CUST00095,BR0018,PRD002,Transfer,Mobile App,29119.62,INR,20006.45,False
TXN00000068,20220725,2022-07-25 19:38:00,ACC001399,CUST00103,BR0010,PRD001,Payment,Branch,-11993.58,INR,479007.83,False
TXN00000069,20250109,2025-01-09 04:49:00,ACC001019,CUST00407,BR0019,PRD002,Deposit,Online,80482.41,INR,273568.03,False
TXN00000070,20251112,2025-11-12 10:10:00,ACC000179,CUST00169,BR0025,PRD004,Payment,Online,-4750.99,INR,80736.24,False
TXN00000071,20241022,2024-10-22 05:45:00,ACC000745,CUST00694,BR0008,PRD008,Transfer,Mobile App,8968.46,INR,128972.05,False
TXN00000072,20241018,2024-10-18 20:59:00,ACC000525,CUST00960,BR0024,PRD006,Refund,ATM,87671.95,INR,469914.73,False
TXN00000073,20251114,2025-11-14 09:25:00,ACC001000,CUST00730,BR0009,PRD010,Deposit,Mobile App,36379.04,INR,428500.48,False
TXN00000074,20230720,2023-07-20 19:20:00,ACC000265,CUST00662,BR0018,PRD008,Payment,Online,-18368.28,INR,41745.27,False
TXN00000075,20250203,2025-02-03 21:02:00,ACC000922,CUST00052,BR0012,PRD002,Transfer,POS,87746.99,INR,488715.82,False
TXN00000076,20231204,2023-12-04 00:09:00,ACC000502,CUST00747,BR0005,PRD004,Interest Credit,Branch,82132.44,INR,145330.3,False
TXN00000077,20230206,2023-02-06 12:55:00,ACC000818,CUST00902,BR0007,PRD010,Refund,Mobile App,7344.22,INR,334575.28,False
TXN00000078,20231231,2023-12-31 14:06:00,ACC000960,CUST00029,BR0003,PRD008,Interest Credit,Branch,53534.82,INR,90136.68,False
TXN00000079,20220611,2022-06-11 12:21:00,ACC000813,CUST00104,BR0013,PRD001,Refund,Branch,43339.78,INR,158642.43,False
TXN00000080,20220721,2022-07-21 15:07:00,ACC000996,CUST00623,BR0021,PRD004,Withdrawal,Online,-35129.43,INR,227289.32,False
TXN00000081,20240922,2024-09-22 10:36:00,ACC000963,CUST00167,BR0024,PRD008,Withdrawal,Branch,-32028.81,INR,493905.37,False
TXN00000082,20220927,2022-09-27 13:30:00,ACC000128,CUST00866,BR0007,PRD002,Refund,ATM,36181.2,INR,27038.76,False
TXN00000083,20240326,2024-03-26 20:11:00,ACC001401,CUST00179,BR0018,PRD001,Payment,Branch,-13528.91,INR,70868.95,False
TXN00000084,20250718,2025-07-18 14:55:00,ACC000168,CUST00240,BR0004,PRD001,Transfer,Mobile App,87383.9,INR,262388.97,False
TXN00000085,20230401,2023-04-01 02:57:00,ACC000532,CUST00356,BR0006,PRD004,Withdrawal,Mobile App,-41535.93,INR,171009.57,False
TXN00000086,20250629,2025-06-29 13:30:00,ACC000337,CUST00801,BR0025,PRD002,Withdrawal,Mobile App,-17496.35,INR,267753.15,False
TXN00000087,20241013,2024-10-13 22:36:00,ACC001427,CUST00449,BR0013,PRD002,Payment,Mobile App,-17766.88,INR,411507.85,False
TXN00000088,20221023,2022-10-23 21:37:00,ACC001223,CUST00330,BR0009,PRD005,Withdrawal,POS,-3936.55,INR,72308.62,False
TXN00000089,20231221,2023-12-21 14:59:00,ACC000649,CUST00056,BR0015,PRD001,Deposit,ATM,15093.1,INR,249722.83,False
TXN00000090,20221204,2022-12-04 23:00:00,ACC001381,CUST00153,BR0012,PRD002,Payment,Mobile App,-13176.99,INR,471661.87,False
TXN00000091,20240528,2024-05-28 18:06:00,ACC001300,CUST00050,BR0015,PRD002,Payment,Branch,-31963.87,INR,109311.39,False
TXN00000092,20241212,2024-12-12 05:38:00,ACC000861,CUST00504,BR0023,PRD001,Interest Credit,Mobile App,54631.32,INR,108068.64,False
TXN00000093,20240302,2024-03-02 00:23:00,ACC000392,CUST00326,BR0013,PRD001,Interest Credit,Online,57704.8,INR,8095.63,False
TXN00000094,20220805,2022-08-05 22:31:00,ACC001029,CUST00575,BR0001,PRD003,Refund,Mobile App,86782.43,INR,207026.86,False
TXN00000095,20240203,2024-02-03 10:07:00,ACC001111,CUST00132,BR0012,PRD006,Payment,ATM,-26182.33,INR,229411.78,False
TXN00000096,20220707,2022-07-07 13:24:00,ACC001133,CUST00808,BR0006,PRD008,Fee,Online,-8174.72,INR,422545.8,False
TXN00000097,20230115,2023-01-15 19:59:00,ACC000896,CUST00058,BR0021,PRD010,Interest Credit,Branch,28360.67,INR,497681.61,False
TXN00000098,20230508,2023-05-08 19:59:00,ACC000213,CUST00255,BR0006,PRD004,Deposit,Mobile App,64979.98,INR,51837.65,False
TXN00000099,20241130,2024-11-30 14:32:00,ACC001278,CUST00135,BR0021,PRD008,Fee,POS,-5030.12,INR,402935.32,False
TXN00000100,20250326,2025-03-26 14:35:00,ACC000862,CUST00879,BR0019,PRD008,Withdrawal,Mobile App,-11182.82,INR,57250.55,False
TXN00000101,20220115,2022-01-15 14:26:00,ACC000255,CUST00597,BR0007,PRD004,Transfer,Mobile App,96763.23,INR,3802.57,False
TXN00000102,20220306,2022-03-06 21:16:00,ACC000459,CUST00722,BR0014,PRD009,Fee,Online,-14216.04,INR,419242.09,False
TXN00000103,20230605,2023-06-05 13:02:00,ACC000850,CUST00276,BR0023,PRD004,Interest Credit,Branch,24193.37,INR,13123.41,False
TXN00000104,20250929,2025-09-29 10:21:00,ACC001063,CUST00615,BR0009,PRD006,Refund,ATM,74137.48,INR,479580.3,False
TXN00000105,20250226,2025-02-26 06:39:00,ACC000496,CUST00315,BR0005,PRD007,Fee,Mobile App,-48675.84,INR,414274.95,False
TXN00000106,20231010,2023-10-10 20:24:00,ACC001184,CUST00647,BR0007,PRD009,Payment,ATM,-6487.08,INR,201559.51,False
TXN00000107,20241222,2024-12-22 22:51:00,ACC000325,CUST00256,BR0019,PRD008,Payment,ATM,-11586.93,INR,252128.52,False
TXN00000108,20250308,2025-03-08 08:53:00,ACC000803,CUST00603,BR0009,PRD009,Refund,POS,76229.08,INR,79526.58,False
TXN00000109,20230816,2023-08-16 00:40:00,ACC000191,CUST00316,BR0024,PRD008,Deposit,POS,2612.74,INR,76524.31,False
TXN00000110,20230127,2023-01-27 00:47:00,ACC001114,CUST00743,BR0004,PRD007,Deposit,ATM,57200.79,INR,491707.1,False
TXN00000111,20230223,2023-02-23 07:19:00,ACC000734,CUST00405,BR0021,PRD005,Withdrawal,ATM,-12024.11,INR,267708.61,False
TXN00000112,20221016,2022-10-16 01:17:00,ACC000775,CUST00937,BR0006,PRD001,Refund,Branch,26084.95,INR,467487.95,False
TXN00000113,20230114,2023-01-14 03:29:00,ACC001308,CUST00119,BR0006,PRD007,Fee,POS,-43353.61,INR,61342.16,False
TXN00000114,20220819,2022-08-19 15:54:00,ACC000537,CUST00987,BR0007,PRD005,Withdrawal,Online,-4684.22,INR,456359.56,False
TXN00000115,20241014,2024-10-14 13:04:00,ACC000207,CUST00856,BR0022,PRD006,Payment,Mobile App,-39782.3,INR,479608.59,False
TXN00000116,20220210,2022-02-10 10:40:00,ACC001408,CUST00694,BR0001,PRD005,Payment,Mobile App,-18793.96,INR,404274.53,False
TXN00000117,20241117,2024-11-17 20:38:00,ACC000021,CUST00567,BR0016,PRD006,Withdrawal,Branch,-33000.34,INR,58603.57,False
TXN00000118,20220515,2022-05-15 19:34:00,ACC000711,CUST00995,BR0012,PRD005,Payment,Branch,-49746.06,INR,79194.13,False
TXN00000119,20220720,2022-07-20 17:01:00,ACC000250,CUST00703,BR0009,PRD003,Withdrawal,POS,-30325.23,INR,255872.36,False
TXN00000120,20240219,2024-02-19 00:20:00,ACC000748,CUST00124,BR0024,PRD004,Deposit,ATM,89862.31,INR,109880.56,False
TXN00000121,20240718,2024-07-18 06:05:00,ACC000260,CUST00077,BR0015,PRD007,Transfer,Online,27402.96,INR,354041.79,False
TXN00000122,20241122,2024-11-22 13:32:00,ACC000957,CUST00706,BR0009,PRD006,Interest Credit,Mobile App,80910.72,INR,461174.05,False
TXN00000123,20241207,2024-12-07 22:17:00,ACC000406,CUST00146,BR0010,PRD001,Interest Credit,Mobile App,84611.28,INR,51447.3,False
TXN00000124,20230518,2023-05-18 06:46:00,ACC001204,CUST00133,BR0014,PRD008,Transfer,Mobile App,16607.03,INR,216735.84,False
TXN00000125,20230211,2023-02-11 10:39:00,ACC001222,CUST00914,BR0010,PRD001,Interest Credit,Branch,27203.81,INR,303647.83,False
TXN00000126,20240315,2024-03-15 20:52:00,ACC001162,CUST00424,BR0001,PRD006,Transfer,Branch,37427.35,INR,224701.69,False
TXN00000127,20220409,2022-04-09 09:38:00,ACC001048,CUST00976,BR0013,PRD006,Transfer,POS,58707.58,INR,176126.67,False
TXN00000128,20231115,2023-11-15 05:22:00,ACC000369,CUST00247,BR0007,PRD004,Refund,ATM,32301.98,INR,36320.17,False
TXN00000129,20231227,2023-12-27 03:00:00,ACC000762,CUST00081,BR0005,PRD006,Withdrawal,Online,-38986.75,INR,344146.21,False
TXN00000130,20240818,2024-08-18 10:57:00,ACC000438,CUST00941,BR0005,PRD001,Payment,ATM,-28395.09,INR,280820.29,False
TXN00000131,20230905,2023-09-05 03:35:00,ACC001233,CUST00255,BR0009,PRD004,Withdrawal,Online,-26386.75,INR,358132.81,False
TXN00000132,20231005,2023-10-05 20:26:00,ACC001375,CUST00929,BR0014,PRD007,Deposit,Mobile App,57416.14,INR,158891.65,False
TXN00000133,20241025,2024-10-25 15:02:00,ACC000404,CUST00582,BR0016,PRD001,Deposit,Online,80282.38,INR,210618.62,False
TXN00000134,20250526,2025-05-26 12:15:00,ACC000351,CUST00031,BR0006,PRD010,Fee,POS,-16377.39,INR,10634.35,False
TXN00000135,20230518,2023-05-18 09:08:00,ACC001180,CUST00798,BR0012,PRD005,Deposit,Mobile App,91168.73,INR,18504.1,False
TXN00000136,20240206,2024-02-06 00:04:00,ACC001081,CUST00598,BR0003,PRD004,Deposit,Mobile App,33772.12,INR,47559.91,False
TXN00000137,20230202,2023-02-02 11:25:00,ACC001482,CUST00859,BR0007,PRD003,Transfer,Branch,27503.62,INR,278225.1,False
TXN00000138,20240520,2024-05-20 22:29:00,ACC001255,CUST00611,BR0019,PRD005,Deposit,Mobile App,39363.08,INR,424336.16,False
TXN00000139,20240305,2024-03-05 19:06:00,ACC000249,CUST00382,BR0022,PRD003,Refund,Branch,37421.91,INR,112007.18,False
TXN00000140,20230128,2023-01-28 22:46:00,ACC000285,CUST00742,BR0001,PRD007,Deposit,Mobile App,99354.36,INR,113170.63,False
TXN00000141,20220726,2022-07-26 17:00:00,ACC001483,CUST00745,BR0011,PRD002,Refund,Branch,36919.51,INR,129843.85,False
TXN00000142,20241104,2024-11-04 02:16:00,ACC000227,CUST00876,BR0022,PRD010,Deposit,Online,94717.13,INR,343960.8,False
TXN00000143,20240610,2024-06-10 04:37:00,ACC000778,CUST00090,BR0020,PRD006,Transfer,Mobile App,69881.55,INR,59950.71,False
TXN00000144,20240513,2024-05-13 13:40:00,ACC000304,CUST00635,BR0025,PRD002,Refund,Mobile App,58433.82,INR,334117.63,False
TXN00000145,20240113,2024-01-13 15:17:00,ACC000493,CUST00835,BR0006,PRD003,Fee,Online,-23922.44,INR,386321.99,False
TXN00000146,20250618,2025-06-18 22:05:00,ACC000189,CUST00213,BR0020,PRD010,Transfer,Online,76631.89,INR,279257.62,False
TXN00000147,20230718,2023-07-18 06:44:00,ACC001351,CUST00270,BR0017,PRD007,Interest Credit,Branch,73540.06,INR,37572.2,False
TXN00000148,20241017,2024-10-17 14:52:00,ACC000436,CUST00735,BR0024,PRD007,Deposit,Mobile App,67066.37,INR,93958.71,False
TXN00000149,20220406,2022-04-06 16:32:00,ACC000428,CUST00001,BR0007,PRD009,Refund,Online,59072.78,INR,380243.98,False
TXN00000150,20230430,2023-04-30 16:06:00,ACC000930,CUST00476,BR0024,PRD010,Interest Credit,ATM,15442.19,INR,109392.42,False
TXN00000151,20251201,2025-12-01 06:49:00,ACC000927,CUST00281,BR0005,PRD007,Refund,Mobile App,62066.78,INR,93976.74,False
TXN00000152,20220819,2022-08-19 18:41:00,ACC000337,CUST00801,BR0025,PRD002,Interest Credit,Branch,30749.32,INR,73644.87,False
TXN00000153,20240119,2024-01-19 14:11:00,ACC000226,CUST00415,BR0019,PRD005,Withdrawal,Online,-878.57,INR,14293.12,False
TXN00000154,20250409,2025-04-09 17:05:00,ACC000928,CUST00378,BR0022,PRD003,Transfer,Online,26594.59,INR,215736.82,False
TXN00000155,20230625,2023-06-25 01:28:00,ACC001029,CUST00575,BR0001,PRD003,Payment,Online,-25420.94,INR,184890.34,False
TXN00000156,20241125,2024-11-25 06:18:00,ACC000784,CUST00878,BR0022,PRD004,Interest Credit,ATM,92805.59,INR,201346.05,False
TXN00000157,20230609,2023-06-09 13:06:00,ACC001085,CUST00195,BR0011,PRD007,Fee,Branch,-24706.13,INR,323172.43,False
TXN00000158,20250329,2025-03-29 01:36:00,ACC000450,CUST00793,BR0003,PRD009,Deposit,Online,5361.12,INR,119383.57,False
TXN00000159,20250620,2025-06-20 22:45:00,ACC000565,CUST00171,BR0010,PRD008,Withdrawal,Mobile App,-44135.88,INR,195954.04,False
TXN00000160,20250114,2025-01-14 05:50:00,ACC001417,CUST00047,BR0007,PRD001,Transfer,ATM,49542.41,INR,173816.56,False
TXN00000161,20230801,2023-08-01 03:11:00,ACC001222,CUST00914,BR0010,PRD001,Transfer,POS,73401.53,INR,453891.22,False
TXN00000162,20231113,2023-11-13 07:10:00,ACC000626,CUST00211,BR0019,PRD009,Refund,Online,90671.44,INR,340721.24,False
TXN00000163,20230711,2023-07-11 00:42:00,ACC000681,CUST00558,BR0003,PRD001,Payment,Mobile App,-7134.59,INR,213961.27,False
TXN00000164,20241009,2024-10-09 00:38:00,ACC000541,CUST00687,BR0019,PRD004,Deposit,Online,17113.97,INR,484770.77,False
TXN00000165,20231008,2023-10-08 03:02:00,ACC001001,CUST00991,BR0025,PRD006,Refund,Branch,24788.67,INR,283633.37,False
TXN00000166,20240306,2024-03-06 04:49:00,ACC000468,CUST00140,BR0024,PRD010,Fee,Branch,-25182.17,INR,49996.23,False
TXN00000167,20241117,2024-11-17 11:34:00,ACC000688,CUST00192,BR0017,PRD002,Payment,Online,-24558.56,INR,331704.26,False
TXN00000168,20250925,2025-09-25 09:45:00,ACC000940,CUST00501,BR0018,PRD010,Deposit,Online,82783.56,INR,445686.21,False
TXN00000169,20250916,2025-09-16 21:33:00,ACC001221,CUST00015,BR0016,PRD006,Payment,Branch,-5682.42,INR,73950.19,False
TXN00000170,20251003,2025-10-03 11:31:00,ACC000452,CUST00867,BR0008,PRD004,Interest Credit,Branch,99409.0,INR,122183.9,False
TXN00000171,20250608,2025-06-08 02:12:00,ACC000883,CUST00193,BR0004,PRD004,Transfer,Mobile App,20670.44,INR,319366.88,False
TXN00000172,20220709,2022-07-09 14:56:00,ACC001284,CUST00174,BR0013,PRD001,Interest Credit,POS,54514.4,INR,87476.12,False
TXN00000173,20250602,2025-06-02 13:17:00,ACC000715,CUST00567,BR0017,PRD005,Transfer,Online,39133.07,INR,95286.33,False
TXN00000174,20251109,2025-11-09 03:27:00,ACC001438,CUST00117,BR0023,PRD003,Transfer,Mobile App,83425.45,INR,283331.22,False
TXN00000175,20251101,2025-11-01 00:31:00,ACC000711,CUST00995,BR0012,PRD005,Transfer,ATM,11063.55,INR,233158.74,False
TXN00000176,20250730,2025-07-30 05:19:00,ACC000594,CUST00975,BR0012,PRD009,Fee,Mobile App,-27929.14,INR,144129.98,False
TXN00000177,20230925,2023-09-25 09:52:00,ACC000032,CUST00938,BR0021,PRD001,Payment,POS,-2095.61,INR,61717.88,False
TXN00000178,20230920,2023-09-20 00:03:00,ACC000011,CUST00484,BR0017,PRD004,Payment,Online,-17645.16,INR,68859.39,False
TXN00000179,20240830,2024-08-30 17:09:00,ACC001029,CUST00575,BR0001,PRD003,Interest Credit,Branch,95854.5,INR,356598.55,False
TXN00000180,20250706,2025-07-06 02:18:00,ACC000403,CUST00971,BR0015,PRD005,Payment,ATM,-29281.98,INR,16068.34,False
TXN00000181,20251014,2025-10-14 12:27:00,ACC000510,CUST00790,BR0018,PRD010,Refund,Mobile App,67866.1,INR,483453.41,False
TXN00000182,20231211,2023-12-11 05:36:00,ACC000536,CUST00907,BR0009,PRD001,Transfer,Mobile App,59724.03,INR,339461.61,False
TXN00000183,20251205,2025-12-05 06:16:00,ACC001185,CUST00182,BR0014,PRD002,Withdrawal,ATM,-34181.89,INR,208156.15,False
TXN00000184,20231011,2023-10-11 20:29:00,ACC000625,CUST00340,BR0001,PRD007,Deposit,POS,29768.55,INR,91686.09,False
TXN00000185,20221114,2022-11-14 14:44:00,ACC000895,CUST00841,BR0014,PRD001,Deposit,Online,13904.06,INR,251907.59,False
TXN00000186,20250602,2025-06-02 14:26:00,ACC000733,CUST00081,BR0017,PRD006,Payment,Mobile App,-17741.98,INR,230641.99,False
TXN00000187,20250611,2025-06-11 04:39:00,ACC000055,CUST00887,BR0015,PRD008,Refund,Online,42120.82,INR,393316.04,False
TXN00000188,20231115,2023-11-15 18:56:00,ACC000765,CUST00207,BR0006,PRD001,Withdrawal,Online,-31063.44,INR,26768.01,False
TXN00000189,20231026,2023-10-26 14:51:00,ACC000258,CUST00940,BR0002,PRD002,Payment,POS,-33520.46,INR,230110.38,False
TXN00000190,20251029,2025-10-29 20:06:00,ACC000113,CUST00543,BR0012,PRD004,Transfer,Online,82997.93,INR,297169.84,False
TXN00000191,20250610,2025-06-10 01:07:00,ACC001159,CUST00391,BR0011,PRD010,Payment,POS,-34545.12,INR,337206.5,False
TXN00000192,20250210,2025-02-10 04:35:00,ACC000109,CUST00745,BR0021,PRD001,Interest Credit,Mobile App,20546.19,INR,68201.38,False
TXN00000193,20230318,2023-03-18 20:19:00,ACC001311,CUST00390,BR0005,PRD003,Refund,Branch,15519.81,INR,402808.42,False
TXN00000194,20230718,2023-07-18 04:38:00,ACC000412,CUST00903,BR0004,PRD001,Deposit,Branch,6760.85,INR,259911.28,False
TXN00000195,20250715,2025-07-15 16:28:00,ACC000213,CUST00255,BR0006,PRD004,Payment,Mobile App,-1281.59,INR,27826.58,False
